English,Indonesian,,,
Acceptable,Dapat Diterima,,,
Apply Now,Daftar Sekarang,,,
"This assessment helps you understand the components of your personality. Just as our bodies are composed of different organ systems, we can think of our personalities as having separate, equally important parts. Although we might feel and behave a little differently from one day to the next, or even from one situation to the next, we all typically display higher or lower levels of five core dimensions. All five dimensions shape who we are, just like all the parts of our bodies work together to keep us healthy.","Asesmen ini membantumu untuk memahami komponen-komponen yang ada dalam kepribadianmu. Sama seperti tubuh kita yang tersusun dari sistem organ yang berbeda-beda, kita dapat berpikir bahwa kepribadian kita memiliki bagian-bagian yang terpisah, dan sama pentingnya. Meskipun mungkin kita merasa atau bersikap sedikit berbeda hari ke hari, atau bahkan dari suatu situasi ke situasi berikutnya, kita biasanya menunjukkan tingkat lima dimensi dasar yang lebih tinggi atau lebih rendah. Kelima dimensi membentuk siapa kita, sama seperti semua bagian di tubuh kita bekerja bersama untuk menjaga kita tetap sehat. ",,,
Back,Kembali,,,
Badge,,,,
Best Match,Sangat Cocok,,,
Best Work Environments,Lingkungan Kerja Terbaik,,,
Bright Future,Masa Depan Cerah,,,
"These occupations are expected to grow rapidly in the next several years, will have large numbers of job openings, or are new and emerging occupations. Data from ONet Online","Pekerjaan-pekerjaan ini diekspektasikan akan berkembang secara pesat dalam beberapa tahun ke depan, akan membuka lapangan pekerjaan dalam jumlah besar, atau pekerjaan baru dan berkembang. Data diambil dari ONet Online",,,
Career Information,Informasi Karir,,,
Career Matches,Karir yang Cocok,,,
View your personalized career recommendations,Lihat rekomendasi karir untukmu,,,
View their personalized career recommendations,Lihat rekomendasi karir untuk mereka,,,
Close,Tutup,,,
You are unable to skip practice questions,Kamu tidak dapat melewati pertanyaan latihan,,,
"Now it’s time for the exercise. Before you begin remember: There are 31 questions in the exercise. You may have as long as you want to complete them. However, most people will complete the exercise in about 15 minutes.You should find a quiet place where you can give the exercise your full attention without being distracted.You can skip questions if you need to but try to give an answer to each question.Please complete the exercise in a single sitting","Sekarang waktunya untuk berlatih. Sebelum kamu memulai, ingat:  Terdapat 31 pertanyaan dalam latihan ini. Kamu memiliki waktu selama kamu ingin menyelesaikannya. Namun, kebanyakan orang akan menyelesaikan latihan ini dalam waktu 15 menit. Kamu harus mencari tempat yang tenang dimana kamu dapat memberikan perhatian penuhmu pada latihan ini tanpa terganggu. Kamu dapat melewati pertanyaan jika  perlu tetapi usahakan untuk menjawab setiap pertanyaan. Silahkan selesaikan latihan ini dalam sekali duduk",,,
Confirm,Konfirmasi,,,
Would you like to attempt the questions you skipped?,Apakah kamu ingin mencoba pertanyaan yang kamu lewati?,,,
Are you sure you want to skip?,Apakah kamu yakin ingin melewatinya?,,,
Please select if you have a learning disability,Silahkan pilih jika kamu mengalami ketidakmampuan belajar,,,
View Example,Perhatikan Contoh,,,
Instructions,Instruksi,,,
"We would like you to work out how different shapes are related to each other. On each screen you will see a grid with a missing shape, as shown by a '?'. Below the grid are four shapes, one of which replaces the '?' to complete the grid.\n\nOnce the exercise begins, pick the shape from below each grid that completes it, then click ‘Confirm’ to move to the next question. You may also skip the question by clicking ‘Skip’. When you are ready, click on 'View Example' to see an example.","Kami ingin anda mengetahui bagaimana bentuk yang berbeda-beda berhubungan satu sama lain. Pada setiap layar kamu akan melihat sebuah kisi-kisi dengan sebuah bentuk yang hilang, seperti yang ditunjukkan oleh tanda '?'. Di bawah kisi-kisi terdapat empat bentuk, dimana salah satunya dapat menggantikan '?' untuk melengkapi kisi-kisi. \n\nSetelah latihan dimulai, pilih bagian dari setiap bawah kisi-kisi untuk melengkapinya, kemudian klik 'Konfirmasi' untuk berpindah ke soal berikutnya. Kamu juga mungkin akan melewati pertanyaan dengan mengklik ""Lewati"". Ketika kamu siap, klik pada bagian 'Lihat Contoh' untuk melihat contoh yang diberikan. ",,,
Start Practice,Mulai Latihan,,,
Here's an example,Berikut ini contohnya,,,
"In this grid there is a triangle, pentagon and arrow in each row and column. There is one black, one blue and one white shape and the shapes are all in the same orientation. The shape that completes the grid is therefore the bottom left shape.","Di dalam kisi-kisi ini terdapat segitiga, segi lima, dan panah pada di setiap baris dan kolom. Terdapat satu bentuk berwarna hitam, satu biru dan satu putih dan semua bentuk memiliki orientasi yang sama. Bentuk yang melengkapi kisi-kisi merupakan bentuk di kiri bawah.",,,
Start,Mulai,,,
Before you start...,Sebelum kamu mulai…,,,
Now it’s time for the exercise. Before you begin remember:There are 20 questions in the exercise and you may have as long as you want to complete them.You should find a quiet place where you can give the exercise your full attention without being distracted.You can skip questions if you need to but try to give an answer to each question.Please complete the exercise in a single sitting.,"Sekarang waktunya untuk berlatih. Sebelum kamu memulai, ingat:  Terdapat 20 pertanyaan dalam latihan ini dan kamu memiliki waktu selama kamu ingin menyelesaikannya. Kamu harus mencari tempat yang tenang dimana kamu dapat memberikan perhatian penuhmu pada latihan ini tanpa terganggu. Kamu dapat melewati pertanyaan jika perlu  tetapi usahakan untuk menjawab setiap pertanyaan. Silahkan selesaikan latihan ini dalam sekali duduk",,,
"On each screen you will see a grid with a missing shape, as shown by a '?'. Below the grid are four further shapes, one of which replaces the '?' to complete the grid. Once the exercise begins, pick the shape from below each grid that completes it, then click 'Confirm' to move to the next question. You may also skip the question by clicking 'Skip'. When you are ready, click on 'View Example' to see an example.","Pada setiap layar kamu akan melihat kisi-kisi dengan sebuah bentuk yang hilang, seperti yang ditunjukkan oleh tanda '?'. Di bawah kisi-kisi terdapat empat bentuk, dimana salah satunya dapat menggantikan '?' untuk melengkapi kisi-kisi. Setelah latihan dimulai, pilih bentuk dari setiap bawah kisi-kisi yang melengkapinya, kemudian klik 'Konfirmasi' untuk berpindah ke soal berikutnya. Kamu juga mungkin akan melewati pertanyaan dengan mengklik ""Lewati"". Ketika kamu siap, klik pada bagian 'Lihat Contoh' untuk melihat contoh yang diberikan. ",,,
"You will see two sets of exercises with 20 questions in each. For the first set you will be given 5 minutes to complete as many questions as you can. For the second set, there will be no time limit. You will be able to take as much time as you would like.You should find a quiet place where you can give the exercises your full attention without being distracted.You can skip questions if you need to, but try to give an answer to each question. Please complete both of the exercises in a single sitting. Now it's time for the first exercise...Remember you will have 5 minutes to complete as many questions as you can.","Kamu akan melihat dua set pada latihan ini dimana terdapat 20 pertanyaan untuk setiap setnya. Untuk set pertama kamu akan diberi waktu 5 menit untuk menyelesaikan pertanyaan sebanyak-banyaknya. Untuk set kedua, tidak akan ada batasan waktu. Kamu dapat mengerjakan selama yang kamu inginkan. Kamu harus mencari tempat yang tenang dimana kamu dapat memberikan perhatian penuhmu pada latihan tanpa terganggu. Kamu dapat melewati pertanyaan jika diperlukan, tetapi usahakan untuk menjawab setiap pertanyaan. Silahkan selesaikan kedua set latihan dalam sekali duduk. Sekarang waktunya untuk latihan pertama...Ingat kamu akan memiliki waktu 5 menit untuk menyelesaikan pertanyaan sebanyak-banyaknya.",,,
Now it's time for the next exercise...Remember you will have 5 minutes to complete as many questions as you can.,Sekarang waktunya untuk ke latihan berikutnya…Ingat kamu memiliki waktu 5 menit untuk menyelesaikan banyak pertanyaan sebisamu.,,,
"You will see two sets of exercises with 20 questions in each. For the first set you will be able to take as much time as you would like and there will be no time limit. For the second set you will be given 5 minutes to complete as many questions as you can. You should find a quiet place where you can give the exercises your full attention without being distracted. You can skip questions if you need to, but try to give an answer to each question. Please complete both of the exercises in a single sitting. Now it's time for the first exercise...Remember you will have as much time as you need to complete as many questions as you can.","Kamu akan melihat dua set pada latihan ini dimana terdapat 20 pertanyaan untuk setiap setnya. Untuk set pertama kamu dapat menggunakan waktu selama yang kamu inginkan dan tidak akan ada batasan waktu. Untuk set kedua kamu akan diberi waktu 5 menit untuk menyelesaikan pertanyaan sebanyak-banyaknya. Kamu harus mencari tempat yang tenang dimana kamu dapat memberikan perhatian penuhmu pada latihan tanpa terganggu. Kamu dapat melewati pertanyaan jika kamu membutuhkannya, tetapi usahakan untuk menjawab setiap pertanyaan. Silahkan selesaikan kedua set latihan dalam sekali duduk. Sekarang waktunya untuk latihan pertama...Ingat kamu memiliki waktu sebanyak yang kamu butuhkan untuk menyelesaikan pertanyaan sebanyak yang kamu bisa.",,,
Now it's time for the next exercise...Remember you will have as much time as you need to complete as many questions as you can.,Sekarang waktunya untuk ke latihan berikutnya…Ingat kamu memiliki waktu sebanyak yang kamu butuhkan untuk menyelesaikan pertanyaan sebanyak yang kamu bisa.,,,
You answered correctly.,Kamu menjawab dengan benar.,,,
You answered incorrectly.,Kamu menjawab salah.,,,
Practice Questions,Pertanyaan Latihan,,,
Next Question,Pertanyaan Selanjutnya,,,
Answer Explanation,Penjelasan Jawaban,,,
"In this grid, the top shape in the first row is rotated 180 degrees and shown in the corresponding cell below. The shape that completes this grid is therefore the bottom right shape.","Pada kisi-kisi ini, bentuk atas pada baris pertama diputari sebesar 180 derajat dan terlihat pada kolom yang sesuai di bawah. Oleh karena itu, bentuk yang melengkapi kisi-kisi ini adalah bentuk di kanan bawah.",,,
Next Question,Pertanyaan Selanjutnya,,,
Answer Explanation,Penjelasan Jawaban,,,
"In this grid, the number of lines shown for each shape increases by one along each row and down each column. Lines are added in a clockwise direction. The shape that completes this grid is therefore the top left shape.","Pada kisi-kisi ini, jumlah garis yang ditampilkan untuk setiap bentuk bertambah satu di sepanjang setiap baris dan di bawah setiap kolom. Garis ditambahkan searah jarum jam. Oleh karena itu, bentuk yang melengkapi kisi-kisi ini adalah bentuk di sebelah kiri atas. ",,,
Next ,Selanjutnya,,,
Answer Explanation,Penjelasan Jawaban,,,
"In the top row, the middle shape is made up of a larger version of the shape on the left with the shape on the right inside it. The shading of the shapes on the left and right is reversed in the middle shape. The shape that completes the grid is therefore the top right shape.","Pada baris atas, bentuk yang di tengah merupakan versi yang lebih besar dari bentuk di sebelah kiri dengan bentuk di sebelah kanan di dalamnya. Bayangan bentuk di sebelah kiri dan kanan dibalik pada bentuk yang berada di tengah. Oleh karena itu, bentuk yang melengkapi kisi-kisi adalah bentuk yang berada di kanan atas. ",,,
Question,Pertanyaan,,,
Response,Respon,,,
Thank you for completing our assessment,Terima kasih telah menyelesaikan asesmen kami,,,
"To learn more about the assessment you just took, please visit Traitify.com","Untuk belajar lebih banyak mengenai asesmen yang baru saja kamu kerjakan, dapat mengunjungi Traitify.com",,,
Skipped Questions,Pertanyaan yang Dilewati,,,
Skip,Lewati,,,
Complements,Pelengkap,,,
Conflicts,Konflik,,,
"The dimension score is calculated from your responses to items that together measure the underlying components of each dimension. Overall, an individual has either a High, Medium, or Low level of each.","Skor dimensi dihitung berdasarkan pada respon yang kamu berikan pada item-item yang bersama-sama mengukur komponen dasar untuk setiap dimensi. Secara keseluruhan, individu masing-masing memiliki tingkat Tinggi, Sedang dan Rendah untuk setiap dimensinya. ",,,
What does my_______mean for me?,Apa arti ________ku untuk ku?,,,
Potential Benefits,Manfaat Potensial,,,
Discover Jobs,Menemukan Pekerjaan,,,
Education,Pendidikan,,,
Typical level of education that most workers need to enter this occupation. Data from ONet Online,Tingkat pendidikan yang dibutuhkan banyak pekerja uintuk dapat memasuki pekerjaan ini. Data dari Onet Onlune,,,
Education Level,Tingkat Pendidikan,,,
Employment Growth,Pertumbuhan Lapangan Pekerjaan,,,
The percent change of employment between 2012-2022 Data from U.S. Bureau of Labor Statistics,Persentase perubahan lapangan kerja antara tahun 2012-2022 Data didapat dari Biro Statistik Tenaga Kerja AS,,,
None,Tidak Ada,,,
High School Diploma,Ijazah Sekolah Menengah Atas,,,
Associate's Degree,Gelar Diploma (D3),,,
Bachelor's Degree,Gelar Sarjana,,,
Graduate Degree,Gelar Pascasarjana,,,
Extended Description,Deskripsi yang Diperluas,,,
Featured Skill,Ketrampilan Unggulan,,,
Filter,Menyaring,,,
Get Started,Memulai,,,
Green Career,Karir Hijau,,,
"The green economy will cause a change in occupations' employment demand or work and worker requirements such as tasks, skills, knowledge, and credentials. Data from ONet Online","Ekonomi hijau akan menyebabkan perubahan pada tingkat permintaan lapangan kerja atau persyaratan pekerjaan atau pekerja seperti tugas-tugas, kemampuan, pengetahuan, dan kepercayaan. Data dari ONet Online",,,
These personality characteristics provide the basis for asking a particular sequence of questions of each of the personality 'types'. The first question is looking to confirm what they should be like; the second two explore areas of possible concern.,Karakteristik kepribadian ini menyediakan dasar untuk mengajukan serangkaian pertanyaan tertentu untuk setiap 'tipe-tipe' kepribadian. Pertanyaan pertama diberikan untuk mengkonfirmasi seperti apa mereka seharusnya; pertanyaan kedua untuk mengeksplorasi area-area yang mungkin perlu menjadi perhatian. ,,,
Help,Bantuan,,,
Instructions,Instruksi,,,
"These questions are customized for this candidate based on their levels of each personality dimension. You may wish to review the candidate's personality profile to learn whether they are high, medium, or low in each dimension, and then structure their interview around the components of personality that are of greatest concern for the position they seek.","Pertanyaan-pertanyaan ini disesuaikan untuk kandidat ini berdasarkan pada tingkat setiap dimensi kepribadian. Kamu mungkin ingin meninjau profil kepribadian kandidat untuk mempelajari apakah mereka memiliki tingkat yang tinggi, sedang, atau rendah untuk setiap dimensi, dan kemudian menyusun wawancara mereka berdasarkan pada komponen kepribadian yang menjadi perhatian utama untuk posisi yang mereka cari. ",,,
Interview Tips/Questions,Tips Wawancara/ Pertanyaan,,,
Job Links,Tautan Pekerjaan,,,
Learn More,Belajar Lebih Banyak,,,
Least Represented Traits,Sifat yang Paling Sedikit Terwakili,,,
These traits received scores in the bottom third of this candidate’s total responses. Appearance on this list reflects only the relative position of these traits for this individual compare to the remaining traits. This does not provide information that can be used to compare the extent of one trait displayed by one candidate vs another.,Sifat-sifat ini mendapatkan skor di posisi tiga terbawah dari respon total kandidat. Penampilan dari daftar ini hanya menunjukkan posisi relatif dari sifat-sifat ini pada kandidat ini dibandingkan dengan sifat-sifat lainnya. Daftar ini tidak menyediakan informasi yang dapat digunakan untuk membandingkan tingkat sifat yang ditunjukkan kandidat satu dengan kandidat lainnya.,,,
High,Tinggi,,,
Low,Rendah,,,
Medium,Sedang,,,
Loading,Memuat,,,
Local Salary,Gaji Lokal,,,
Location,Lokasi,,,
"ex. Baltimore, MD","contoh. Baltimore, MD",,,
Match,Cocok,,,
This career matches your personality by_____%.,Karir ini cocok dengan kepribadianmu sebesar ________%,,,
Medium,Sedang,,,
More information about these values. ,Informasi lebih lanjut mengenai nilai-nilai ini. ,,,
Most Represented Traits,Sifat yang Paling Terwakili,,,
"Of the thirty traits measured by this assessment, these traits received scores in the top third of this candidate’s total responses. Appearance on this list reflects only the relative position of these traits for this individual compared to the remaining traits. This does not provide information that can be used to compare the extent of one trait displayed by one candidate vs another.","Dari tiga puluh sifat yang diukur oleh asesmen ini, sifat-sifat ini mendapatkan skor di posisi tiga teratas dari respon total kandidat. Penampilan dari daftar ini hanya menunjukkan posisi relatif dari sifat-sifat ini pada kandidat ini dibandingkan dengan sifat-sifat lainnya. Daftar ini tidak menyediakan informasi yang dapat digunakan untuk membandingkan tingkat sifat yang ditunjukkan kandidat satu dengan kandidat lainnya.",,,
Next,Selanjutnya,,,
No Careers,Tidak Ada Karir,,,
No local jobs were found for this career. Please visit ______ to find more opportunities.,Tidak ada pekerjaan lokal yang ditemukan untuk karir ini. Silahkan kunjungi _________ untuk menemukan lebih banyak kesempatan.,,,
No More Careers,Tidak Ada Lagi Karir,,,
Not Me,Bukan Saya,,,
Personality Advice,Nasihat Kepribadian,,,
Your personality type is _______,Tipe kepribadianmu adalah ______,,,
Their personality type is _______,Tipe kepribadian mereka adalah _________,,,
Personality Blend,Perpaduan Kepribadian,,,
Your personality blend is ______,Perpaduan kepribadianmu adalah ________,,,
Their personality blend is ______,Perpaduan kepribadian mereka adalah _______________,,,
Personality Breakdown,Rincian Kepribadian,,,
Personality Details,Detail Kepribadian,,,
Your ____ Personality is ______,Kepribadian __________ kamu adalah ______,,,
_____ Personality: _______,Kepribadian _____ : __________,,,
Personality Tips,Tips Kepribadian,,,
Personality Traits,Ciri-ciri Kepribadian,,,
Here are your top 5 traits measured on a scale of 0% to 100%,Ini adalah lima sifat teratasmu yang diukur pada skala 0% sampai dengan 100%,,,
Personality Type,Tipe Kepribadian,,,
Potential Benefits,Manfaat Potensial,,,
Potential Pitfalls,Potensi Jebakan,,,
Potential Risk,Resiko Potensial,,,
Preferred,Lebih Disukai,,,
Have they developed a coping style?,Apakah mereka sudah mengembangkan gaya mengatasi?,,,
What are you trying to find out? ,Apa yang ingin kamu ketahui?,,,
A chart displaying your results. See text version below,Sebuah bagan yang menunjukkan hasilmu. Lihat versi teks di bawah,,,
Read More,Baca Lebih Lanjut,,,
Really Me,Benar-benar Saya,,,
Really Not Me,Benar-benar Bukan Saya,,,
"Below, you can see the candidate's personality results broken down by each of the Big Five dimensions. Scores are color-coded to indicate the best-fit ranges (green), followed by yellow and red. These ranges vary for each job. They are based on several pieces of information that may include published research, job descriptions, and interviews with people who are familiar with the job.","Di bawah ini, kamu dapat melihat hasil kepribadian kandidat yang dirinci berdasarkan masing-masing dimensi Lima Besar. Skor diberi kode warna untuk mengindikasikan rentang yang paling sesuai (hijau), disusul warna kuning dan merah. Rentang ini bervariasi untuk setiap pekerjaan. Hal ini didasarkan pada beberapa informasi yang mungkin di dalamnya meliputi penelitian yang dipublikasikan, deskripsi pekerjaan, dan wawancara dengan orang-orang yang memahami pekerjaan tersebut. ",,,
Fit Breakdown,Rincian yang Sesuai,,,
Room for Growth and Change,Ruang untuk Pertumbuhan dan Perubahan,,,
Salary Mean,Rata-rata Gaji,,,
The wage at which half of the workers in the occupation earned more than that amount and half earned less. Median wage data is from ONet Online,Upah dimana separuh pekerja dalam suatu pekerjaan mendapatkan penghasilan lebih dari jumlah tersebut dan separuhnya lagi mendapatkan penghasilan lebih sedikit. Data median upah didapatkan dari ONet Online,,,
Search,Mencari,,,
Show Less,Menampilkan Lebih Sedikit,,,
Show More,Menampilkan Lebih Banyak,,,
"Speaking, writing, and sharing ideas are important. Try these tips to communicate well.","Berbicara, menulis dan membagikan ide-ide adalah hal penting, Cobalah tips ini untuk berkomunikasi dengan baik,",,,
Work and life have plenty of ups and downs. Here are tips to help you cope.,Pekerjaan dan kehidupan memiliki cukup banyak suka dan duka. Berikut tips yang dapat membantumu untuk mengatasinya. ,,,
Make the most of your days while awaiting a return to work.,Manfaatkan hari-harimu semaksimal mungkin sambil menunggu untuk kembali bekerja.,,,
Make your routine behaviors a personal strength. Here are some ideas to get you started.,Jadikan perilaku rutinmu sebagai kekuatan personalmu. Berikut adalah beberapa ide untuk membantumu memulai.,,,
"Leadership skills help you grow, now and in the future.","Kemampuan memimpin membantumu untuk tumbuh, sekarang dan juga di masa depan. ",,,
We often work alongside others. Get the most out of your role on a team.,Kita seringkali bekerja sama dengan orang lain. Maksimalkan peranmu dalam tim.,,,
Use these tips to stay focused and productive while working from home.,Gunakan tips ini untuk tetap fokus dan produktif ketika bekerja dari rumah.,,,
Communication Tips,Tips Komunikasi,,,
Dealing With Stress,Mengatasi Stres,,,
Everyday Adjustments,Penyesuaian Diri Sehari-hari,,,
Habits To Build,Kebiasaan yang Perlu Dibangun,,,
Leading Others,Memimpin Orang Lain,,,
Teamwork,Kerja Tim,,,
Working From Home Tips,Tips Bekerja dari Rumah,,,
Unable to load more slides at this time,Tidak dapat memuat lebih banyak slide untuk saat ini,,,
Sort,Menggolongkan,,,
Success Skills,Kemampuan untuk Sukses,,,
Caution Zone,Zona yang Perlu Diwaspadai,,,
Room for Growth and Change,Ruang untuk Pertumbuhan dan Perubahan,,,
Settings For You,Pengaturan untuk Anda,,,
Settings For Them,Pengaturan untuk Mereka,,,
Tools to Use,Alat untuk Digunakan,,,
Title,Jabatan,,,
Click Here to Try Again,Klik Disini untuk Mencoba Kembali,,,
View Career Details on O*Net,Lihat Detail Karir di O*Net,,,
